url,in_degree,out_degree,total_degree,degree_centrality,betweenness_centrality,closeness_centrality,pagerank,weak_component_id,weak_component_size,in_largest_component
https://prz.edu.pl/uczelnia/informacje/historia-prz/poczet-rektorow,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/informacje/historia-prz/powstanie-i-rozwoj,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/informacje/historia-prz/tradycje,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/informacje/misja,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/informacje/sukcesy-uczelni,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/nauka,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/odpowiedzialnosc-dyscyplinarna/nauczyciele,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/odpowiedzialnosc-dyscyplinarna/studenci,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/organizacje-i-zwiazki,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/projekty-realizowane-ze-srodkow-budzetu-panstwa-lub-ze-srodkow-panstwowego-funduszu-celowego/budowa-hangaru-dla-szybowcow-w-akademickim-osrodku-szybowcowym-w-bezmiechowej,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/projekty-realizowane-ze-srodkow-budzetu-panstwa-lub-ze-srodkow-panstwowego-funduszu-celowego/budowa-kompleksu-sportowego-orlik-2024-dla-politechniki-rzeszowskiej-w-rzeszowie,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/projekty-realizowane-ze-srodkow-budzetu-panstwa-lub-ze-srodkow-panstwowego-funduszu-celowego/budowa-magazynu-odczynnikow-i-odpadow-chemicznych,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/projekty-realizowane-ze-srodkow-budzetu-panstwa-lub-ze-srodkow-panstwowego-funduszu-celowego/budowa-serwerowni,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/projekty-realizowane-ze-srodkow-budzetu-panstwa-lub-ze-srodkow-panstwowego-funduszu-celowego/dostosowanie-ppoz-w-aos-w-bezmiechowej-gornej,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/projekty-realizowane-ze-srodkow-budzetu-panstwa-lub-ze-srodkow-panstwowego-funduszu-celowego/modernizacja-kotlowni-w-osrodku-ksztalcenia-lotniczego-w-jasionce,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/projekty-realizowane-ze-srodkow-budzetu-panstwa-lub-ze-srodkow-panstwowego-funduszu-celowego/organizacja-ii-konferencji-naukowej-nauki-o-zarzadzaniu,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/projekty-realizowane-ze-srodkow-budzetu-panstwa-lub-ze-srodkow-panstwowego-funduszu-celowego/przebudowa-toalet-w-budynku-o,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/projekty-realizowane-ze-srodkow-budzetu-panstwa-lub-ze-srodkow-panstwowego-funduszu-celowego/rozbudowa-budynku-arcus,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/projekty-realizowane-ze-srodkow-budzetu-panstwa-lub-ze-srodkow-panstwowego-funduszu-celowego/wsparcie-czasopism-naukowych,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/projekty-realizowane-ze-srodkow-budzetu-panstwa-lub-ze-srodkow-panstwowego-funduszu-celowego/wykonanie-instalacji-oraz-dostosowanie-ppoz-w-budynku-k,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/projekty-realizowane-ze-srodkow-budzetu-panstwa-lub-ze-srodkow-panstwowego-funduszu-celowego/wykonanie-sieci-energetycznej-do-budynku-k-i-h,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/projekty-realizowane-ze-srodkow-budzetu-panstwa-lub-ze-srodkow-panstwowego-funduszu-celowego/zakup-mikroskopu-elektronowego-sem-wraz-z-napylarka,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/projekty-realizowane-ze-srodkow-budzetu-panstwa-lub-ze-srodkow-panstwowego-funduszu-celowego/zakup-systemu-do-montazu-struktur-polprzewodnikowych,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/projekty-realizowane-ze-srodkow-budzetu-panstwa-lub-ze-srodkow-panstwowego-funduszu-celowego/zakup-systemu-zarzadzania-flota-pojazdow-amr,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/projekty-realizowane-ze-srodkow-budzetu-panstwa-lub-ze-srodkow-panstwowego-funduszu-celowego/zakup-wieloparametrowego-systemu-inspekcyjnego,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/projekty-realizowane-ze-srodkow-budzetu-panstwa-lub-ze-srodkow-panstwowego-funduszu-celowego/zakup-wyposazenia-pracowni-badan-cykli-cieplnych-i-struktur-materialow,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/struktura-organizacyjna/wydzialy,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/badania-i-nauka/centra,23,0,23,0.05623472,0.00000000,0.00000000,0.00271286,1,401,True
https://prz.edu.pl/badania-i-nauka/granty-i-fundusze-europejskie,23,0,23,0.05623472,0.00000000,0.00000000,0.00271286,1,401,True
https://prz.edu.pl/badania-i-nauka/granty-naukowe-krajowe,23,0,23,0.05623472,0.00000000,0.00000000,0.00271286,1,401,True
https://prz.edu.pl/badania-i-nauka/laboratoria,23,0,23,0.05623472,0.00000000,0.00000000,0.00271286,1,401,True
https://prz.edu.pl/badania-i-nauka/nadchodzace-wydarzenia,23,0,23,0.05623472,0.00000000,0.00000000,0.00271286,1,401,True
https://prz.edu.pl/media/rzecznik-prasowy,23,0,23,0.05623472,0.00000000,0.00000000,0.00271286,1,401,True
https://prz.edu.pl/pomoc-techniczna,23,0,23,0.05623472,0.00000000,0.00000000,0.00271286,1,401,True
https://prz.edu.pl/pracownicy/dydaktyczne-czwartki,23,0,23,0.05623472,0.00000000,0.00000000,0.00271286,1,401,True
https://prz.edu.pl/pracownicy/ogloszenia-pracownicze/ogolnodostepne,23,0,23,0.05623472,0.00000000,0.00000000,0.00271286,1,401,True
https://prz.edu.pl/pracownicy/ogloszenia-pracownicze/tylko-dla-zalogowanych,23,0,23,0.05623472,0.00000000,0.00000000,0.00271286,1,401,True
https://prz.edu.pl/pracownicy/sprawy-pracownicze/administratorzy-budynkow-portiernie,23,0,23,0.05623472,0.00000000,0.00000000,0.00271286,1,401,True
https://prz.edu.pl/pracownicy/sprawy-pracownicze/obsluga-prawna,23,0,23,0.05623472,0.00000000,0.00000000,0.00271286,1,401,True
https://prz.edu.pl/uczelnia/organizacje-i-zwiazki/kolezenska-kasa-oszczednosciowo-pozyczkowa-przy-politechnice-rzeszowskiej,23,0,23,0.05623472,0.00000000,0.00000000,0.00271286,1,401,True
https://prz.edu.pl/uczelnia/organizacje-i-zwiazki/zwiazki-zawodowe,23,0,23,0.05623472,0.00000000,0.00000000,0.00271286,1,401,True
https://prz.edu.pl/media/do-pobrania/kroj-pisma,22,0,22,0.05378973,0.00000000,0.00000000,0.00269547,1,401,True
https://prz.edu.pl/media/do-pobrania/ksiega-standardow-identyfikacji-wizualnej,22,0,22,0.05378973,0.00000000,0.00000000,0.00269547,1,401,True
https://prz.edu.pl/media/do-pobrania/okladki-prac-doktorskich,22,0,22,0.05378973,0.00000000,0.00000000,0.00269547,1,401,True
https://prz.edu.pl/media/do-pobrania/papier-firmowy,22,0,22,0.05378973,0.00000000,0.00000000,0.00269547,1,401,True
https://prz.edu.pl/media/do-pobrania/plan-sytuacyjny-miasteczka-akademickiego,22,0,22,0.05378973,0.00000000,0.00000000,0.00269547,1,401,True
https://prz.edu.pl/media/do-pobrania/prezentacja-multimedialna,22,0,22,0.05378973,0.00000000,0.00000000,0.00269547,1,401,True
https://prz.edu.pl/media/do-pobrania/spot-promocyjny,22,0,22,0.05378973,0.00000000,0.00000000,0.00269547,1,401,True
https://prz.edu.pl/media/do-pobrania/szablon-prezentacji-multimedialnej,22,0,22,0.05378973,0.00000000,0.00000000,0.00269547,1,401,True
https://prz.edu.pl/media/do-pobrania/znaki-graficzne,22,0,22,0.05378973,0.00000000,0.00000000,0.00269547,1,401,True
https://prz.edu.pl/cas/login/front?redirect=/konto-uzytkownika,1,0,1,0.00244499,0.00000000,0.00000000,0.00257452,1,401,True
https://prz.edu.pl/media,3,118,121,0.29584352,0.00020943,0.46994156,0.00236531,1,401,True
https://prz.edu.pl/uczelnia/aktualnosci/klub-biegacza-podsumowanie-sezonu-2977.html,3,151,154,0.37652812,0.00969817,0.51794634,0.00236465,1,401,True
https://prz.edu.pl/uczelnia/aktualnosci/sukces-studentow-kola-naukowego-machine-learninga-2978.html,3,118,121,0.29584352,0.00036269,0.46994156,0.00236465,1,401,True
https://prz.edu.pl/rss/pl/4.xml,5,0,5,0.01222494,0.00000000,0.00000000,0.00236258,1,401,True
